 62,101,171
 62,101,171
 61,101,171
 61,101,170
 61,101,170
 61,101,170
 61,101,170
 61,101,170
 61,101,170
 62,101,171
 63,101,172
 64,103,173
 64,103,173
 64,103,173
 63,103,172
 64,104,173
 61,106,174
 56,107,174
 56,107,174
 55,108,173
 54,108,172
 55,106,174
 57,106,175
 59,107,177
 61,105,180
 61,105,180
 61,105,180
 61,105,180
 62,106,181
 63,106,182
 61,105,180
 63,107,182
 63,107,182
 63,107,182
 63,107,182
 63,107,182
 63,107,182
 63,107,182
 65,105,186
 66,106,187
 67,107,188
 66,107,187
 66,107,187
 66,106,187
 68,108,189
 67,110,186
 66,110,185
 67,110,185
 67,110,185
 66,110,185
 67,110,185
 67,110,185
 69,110,189
 70,110,191
 70,110,191
 70,110,191
 70,110,191
 70,110,191
 70,110,191
 67,110,191
 65,110,191
 65,110,190
 65,110,191
 66,111,191
 66,111,191
 66,111,191
 67,111,192
 67,112,192
 67,112,192
 67,112,192
 69,114,194
 69,114,194
 69,114,194
 69,114,194
 69,114,194
 69,114,194
 70,113,198
 70,113,198
 68,114,195
 67,115,192
 68,115,194
 72,114,200
 70,112,198
 70,112,198
 71,114,199
 73,113,201
 74,112,202
 74,112,202
 74,112,202
 74,112,202
 72,114,200
 71,115,200
 72,114,200
 73,111,201
 73,113,202
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 68,117,203
 69,118,204
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 71,120,206
 70,119,205
 70,119,205
 70,119,205
 72,121,207
 70,119,205
 71,120,206
 71,120,206
 70,119,205
 71,120,206
 70,119,205
 71,120,206
 72,121,207
 72,121,207
 72,121,207
 72,120,207
 72,120,207
 72,121,207
 72,121,207
 70,119,205
 71,119,206
 72,121,207
 72,121,207
 72,121,207
 71,120,206
 72,120,207
 72,121,207
 72,121,207
 72,120,207
 72,121,207
 72,121,207
 72,121,207
 72,121,207
 72,121,207
 71,120,206
 70,119,205
 72,120,207
 70,119,205
 71,120,206
 71,120,206
 70,119,205
 72,121,207
 72,121,207
 71,120,206
 72,121,207
 71,120,206
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 70,119,205
 68,118,204
